x_coordinate,y_coordinate,timestamp,swipe_id
825, 1211, 21613.573377, 32
831, 1169, 21613.578494, 32
882, 1525, 21614.329461, 33
885, 1509, 21614.361864, 33
887, 1491, 21614.366974, 33
890, 1466, 21614.372474, 33
893, 1445, 21614.377945, 33
895, 1423, 21614.383214, 33
897, 1390, 21614.388855, 33
898, 1360, 21614.394128, 33
899, 1320, 21614.399515, 33
898, 1253, 21614.410406, 33
896, 1187, 21614.421379, 33
894, 1153, 21614.426719, 33
872, 1570, 21615.199310, 34
867, 1553, 21615.220635, 34
861, 1535, 21615.226042, 34
853, 1507, 21615.231388, 34
844, 1480, 21615.236987, 34
836, 1454, 21615.242323, 34
830, 1428, 21615.247797, 34
822, 1395, 21615.253324, 34
817, 1368, 21615.258735, 34
810, 1331, 21615.264270, 34
806, 1304, 21615.269625, 34
803, 1272, 21615.275012, 34
802, 1243, 21615.280457, 34
804, 1168, 21615.291351, 34
809, 1120, 21615.296832, 34
896, 1551, 21616.226848, 35
891, 1538, 21616.259275, 35
884, 1521, 21616.264571, 35
875, 1503, 21616.270126, 35
868, 1482, 21616.275632, 35
861, 1461, 21616.280971, 35
853, 1437, 21616.286383, 35
847, 1416, 21616.291812, 35
841, 1391, 21616.297297, 35
832, 1358, 21616.302819, 35
828, 1332, 21616.308070, 35
822, 1299, 21616.313465, 35
820, 1275, 21616.319082, 35
818, 1247, 21616.324538, 35
821, 1187, 21616.335382, 35
827, 1147, 21616.340654, 35
836, 1104, 21616.346202, 35
884, 1558, 21616.971776, 36
878, 1538, 21617.004157, 36
870, 1512, 21617.009556, 36
865, 1489, 21617.014918, 36
856, 1454, 21617.020483, 36
850, 1427, 21617.025922, 36
843, 1392, 21617.031290, 36
837, 1355, 21617.036796, 36
832, 1318, 21617.042312, 36
827, 1277, 21617.047653, 36
824, 1237, 21617.053152, 36
823, 1197, 21617.058476, 36
824, 1147, 21617.063880, 36
831, 1088, 21617.069366, 36
873, 1485, 21617.945327, 37
869, 1468, 21617.977585, 37
865, 1447, 21617.982878, 37
862, 1417, 21617.988307, 37
859, 1387, 21617.993743, 37
856, 1352, 21617.999289, 37
853, 1317, 21618.004553, 37
854, 1245, 21618.015416, 37
855, 1205, 21618.020844, 37
859, 1133, 21618.031736, 37
866, 1087, 21618.037237, 37
881, 1031, 21618.042556, 37
862, 1558, 21618.912944, 38
858, 1545, 21618.939761, 38
855, 1529, 21618.945212, 38
851, 1508, 21618.950787, 38
846, 1486, 21618.956155, 38
841, 1459, 21618.961558, 38
837, 1428, 21618.967085, 38
832, 1390, 21618.972482, 38
828, 1352, 21618.978014, 38
824, 1309, 21618.983335, 38
822, 1264, 21618.988749, 38
825, 1170, 21618.999678, 38
831, 1120, 21619.005018, 38
841, 1066, 21619.010519, 38
876, 1657, 21619.929800, 39
875, 1641, 21619.978408, 39
871, 1621, 21619.983841, 39
866, 1605, 21619.989382, 39
859, 1584, 21619.994670, 39
850, 1557, 21620.000322, 39
842, 1533, 21620.005551, 39
832, 1499, 21620.011055, 39
823, 1466, 21620.016506, 39
815, 1431, 21620.021889, 39
808, 1390, 21620.027318, 39
801, 1345, 21620.032784, 39
795, 1301, 21620.038086, 39
791, 1249, 21620.043555, 39
789, 1193, 21620.049005, 39
796, 1130, 21620.054480, 39
879, 1554, 21620.864868, 40
878, 1538, 21620.891708, 40
875, 1516, 21620.897312, 40
871, 1493, 21620.902612, 40
863, 1465, 21620.908066, 40
856, 1440, 21620.913610, 40
846, 1412, 21620.918884, 40
839, 1385, 21620.924427, 40
832, 1359, 21620.929768, 40
825, 1324, 21620.935225, 40
820, 1293, 21620.940690, 40
816, 1261, 21620.946128, 40
813, 1223, 21620.951538, 40
811, 1176, 21620.957005, 40
814, 1118, 21620.962514, 40
884, 1585, 21621.713291, 41
879, 1575, 21621.750907, 41
872, 1561, 21621.756239, 41
865, 1544, 21621.761833, 41
856, 1523, 21621.767136, 41
850, 1500, 21621.772700, 41
843, 1476, 21621.778023, 41
837, 1448, 21621.783494, 41
831, 1424, 21621.788895, 41
824, 1390, 21621.794345, 41
820, 1363, 21621.799823, 41
815, 1333, 21621.805214, 41
810, 1307, 21621.810647, 41
809, 1285, 21621.816202, 41
807, 1253, 21621.821559, 41
805, 1224, 21621.826992, 41
803, 1184, 21621.832449, 41
806, 1137, 21621.837952, 41
854, 1604, 21622.784239, 42
849, 1590, 21622.827394, 42
844, 1570, 21622.832816, 42
841, 1551, 21622.838418, 42
837, 1529, 21622.843688, 42
834, 1502, 21622.849324, 42
831, 1481, 21622.854595, 42
829, 1450, 21622.860184, 42
827, 1416, 21622.865476, 42
828, 1377, 21622.870867, 42
827, 1351, 21622.876287, 42
826, 1312, 21622.881873, 42
827, 1281, 21622.887163, 42
828, 1198, 21622.898117, 42
833, 1145, 21622.903457, 42
843, 1084, 21622.908832, 42
882, 1537, 21623.627074, 43
871, 1520, 21623.670065, 43
861, 1498, 21623.675642, 43
850, 1468, 21623.681104, 43
841, 1436, 21623.686412, 43
835, 1401, 21623.691812, 43
829, 1368, 21623.697386, 43
823, 1329, 21623.702679, 43
819, 1301, 21623.708114, 43
815, 1267, 21623.713687, 43
814, 1244, 21623.719037, 43
813, 1217, 21623.724461, 43
809, 1180, 21623.729958, 43
806, 1145, 21623.735301, 43
808, 1101, 21623.740728, 43
896, 1511, 21624.371796, 44
894, 1500, 21624.393382, 44
893, 1484, 21624.398638, 44
892, 1461, 21624.404129, 44
891, 1435, 21624.409625, 44
890, 1405, 21624.415007, 44
888, 1372, 21624.420513, 44
886, 1342, 21624.425866, 44
884, 1307, 21624.431287, 44
